# Points and calculations for parabola y^2 = 8x and circle x^2 + y^2 - 2x - 4y = 0
# P(0,0), Q(2,4), S(2,0) - focus of parabola
PARABOLA 1.36 3.30
PARABOLA 1.44 3.40
PARABOLA 1.53 3.50
PARABOLA 1.62 3.60
PARABOLA 1.71 3.70
PARABOLA 1.80 3.80
PARABOLA 1.90 3.90
PARABOLA 2.00 4.00
PARABOLA 2.10 4.10
PARABOLA 2.20 4.20
PARABOLA 2.31 4.30
PARABOLA 2.42 4.40
PARABOLA 2.53 4.50
PARABOLA 2.64 4.60
PARABOLA 2.76 4.70
PARABOLA 2.88 4.80
PARABOLA 3.00 4.90
PARABOLA 3.12 5.00
PARABOLA 3.25 5.10
PARABOLA 3.38 5.20
PARABOLA 3.51 5.30
PARABOLA 3.64 5.40
PARABOLA 3.78 5.50
PARABOLA 3.92 5.60
PARABOLA 4.06 5.70
PARABOLA 4.20 5.80
PARABOLA 4.35 5.90
PARABOLA 4.50 6.00
# Circle points (x^2 + y^2 - 2x - 4y = 0)
CIRCLE 3.24 2.00
CIRCLE 3.22 2.22
CIRCLE 3.19 2.44
CIRCLE 3.14 2.66
CIRCLE 3.06 2.87
CIRCLE 2.96 3.07
CIRCLE 2.85 3.26
CIRCLE 2.71 3.44
CIRCLE 2.56 3.60
CIRCLE 2.39 3.75
CIRCLE 2.21 3.88
CIRCLE 2.01 3.99
CIRCLE 1.81 4.08
CIRCLE 1.60 4.15
CIRCLE 1.38 4.20
CIRCLE 1.16 4.23
CIRCLE 0.93 4.24
CIRCLE 0.71 4.22
CIRCLE 0.49 4.18
CIRCLE 0.28 4.12
CIRCLE 0.07 4.03
CIRCLE -0.13 3.93
CIRCLE -0.32 3.81
CIRCLE -0.49 3.67
CIRCLE -0.65 3.51
CIRCLE -0.79 3.34
CIRCLE -0.92 3.15
CIRCLE -1.02 2.96
CIRCLE -1.11 2.75
CIRCLE -1.17 2.53
CIRCLE -1.21 2.32
CIRCLE -1.23 2.09
CIRCLE -1.23 1.87
CIRCLE -1.21 1.65
CIRCLE -1.16 1.43
CIRCLE -1.09 1.22
CIRCLE -1.01 1.01
CIRCLE -0.90 0.82
CIRCLE -0.77 0.63
CIRCLE -0.62 0.46
CIRCLE -0.46 0.31
CIRCLE -0.29 0.17
CIRCLE -0.10 0.05
CIRCLE 0.10 -0.05
CIRCLE 0.31 -0.13
CIRCLE 0.53 -0.19
CIRCLE 0.75 -0.22
CIRCLE 0.97 -0.24
CIRCLE 1.20 -0.23
CIRCLE 1.42 -0.20
CIRCLE 1.63 -0.14
CIRCLE 1.85 -0.07
CIRCLE 2.05 0.02
CIRCLE 2.24 0.14
CIRCLE 2.42 0.27
CIRCLE 2.58 0.42
CIRCLE 2.73 0.59
CIRCLE 2.87 0.77
CIRCLE 2.98 0.96
CIRCLE 3.07 1.16
CIRCLE 3.15 1.38
CIRCLE 3.20 1.59
CIRCLE 3.23 1.81
